[2025-05-22 13:58:10.513 | info | PId: 45320 | TId: 41452] Enable debug log = 1 from (DD_TRACE_DEBUG environment variable)
[2025-05-22 13:58:10.515 | info | PId: 45320 | TId: 41452] Crashtracking - Registering unhandled exception filter.
[2025-05-22 13:58:10.516 | warning | PId: 45320 | TId: 41452] Crashtracking - Failed to get module handle for coreclr.dll or clr.dll
[2025-05-22 13:58:10.516 | debug | PId: 45320 | TId: 41452] Crashtracking - Registering the crash handler C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
[2025-05-22 13:58:10.516 | debug | PId: 45320 | TId: 41452] DynamicDispatcherImpl::LoadConfiguration:  Setting environment variable: DD_INTERNAL_NATIVE_LOADER_PATH=C:\Program Files\Datadog\.NET Tracer\win-x64\Datadog.Trace.ClrProfiler.Native.dll
[2025-05-22 13:58:10.516 | debug | PId: 45320 | TId: 41452] DynamicDispatcherImpl::LoadConfiguration: SetEnvironmentValue result: 1
[2025-05-22 13:58:10.516 | info | PId: 45320 | TId: 41452] DynamicDispatcherImpl::LoadConfiguration: Reading configuration file from: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x64\\loader.conf"
[2025-05-22 13:58:10.517 | debug | PId: 45320 | TId: 41452] DynamicDispatcherImpl::LoadConfiguration: Config Folder: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x64\\"
[2025-05-22 13:58:10.517 | debug | PId: 45320 | TId: 41452] #Profiler
[2025-05-22 13:58:10.517 | debug | PId: 45320 | TId: 41452] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x64;.\Datadog.Profiler.Native.dll
[2025-05-22 13:58:10.517 | debug | PId: 45320 | TId: 41452] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] Loading: .\Datadog.Profiler.Native.dll [AbsolutePath=C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll] (win-x64)
[2025-05-22 13:58:10.517 | debug | PId: 45320 | TId: 41452] [PROFILER] Creating a new DynamicInstance object
[2025-05-22 13:58:10.517 | debug | PId: 45320 | TId: 41452] Load: C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll
[2025-05-22 13:58:10.532 | debug | PId: 45320 | TId: 41452] GetFunction: DllGetClassObject
[2025-05-22 13:58:10.532 | debug | PId: 45320 | TId: 41452] GetFunction: DllCanUnloadNow
[2025-05-22 13:58:10.532 | debug | PId: 45320 | TId: 41452] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] Setting environment variable: DD_INTERNAL_PROFILING_NATIVE_ENGINE_PATH=C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll
[2025-05-22 13:58:10.532 | debug | PId: 45320 | TId: 41452] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] SetEnvironmentValue result: 1
[2025-05-22 13:58:10.532 | debug | PId: 45320 | TId: 41452] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x86;.\Datadog.Profiler.Native.dll
