[2025-05-22 14:35:52.358 | info | PId: 49532 | TId: 20944] Enable debug log = 1 from (DD_TRACE_DEBUG environment variable)
[2025-05-22 14:35:52.358 | debug | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration:  Setting environment variable: DD_INTERNAL_NATIVE_LOADER_PATH=C:\Program Files\Datadog\.NET Tracer\win-x86\Datadog.Trace.ClrProfiler.Native.dll
[2025-05-22 14:35:52.358 | debug | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration: SetEnvironmentValue result: 1
[2025-05-22 14:35:52.358 | info | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration: Reading configuration file from: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x86\\loader.conf"
[2025-05-22 14:35:52.359 | debug | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration: Config Folder: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x86\\"
[2025-05-22 14:35:52.359 | debug | PId: 49532 | TId: 20944] #Profiler
[2025-05-22 14:35:52.359 | debug | PId: 49532 | TId: 20944] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x64;.\Datadog.Profiler.Native.dll
[2025-05-22 14:35:52.359 | debug | PId: 49532 | TId: 20944] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x86;.\Datadog.Profiler.Native.dll
[2025-05-22 14:35:52.359 | debug | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] Loading: .\Datadog.Profiler.Native.dll [AbsolutePath=C:\Program Files\Datadog\.NET Tracer\win-x86\.\Datadog.Profiler.Native.dll] (win-x86)
[2025-05-22 14:35:52.359 | debug | PId: 49532 | TId: 20944] [PROFILER] Creating a new DynamicInstance object
[2025-05-22 14:35:52.359 | debug | PId: 49532 | TId: 20944] Load: C:\Program Files\Datadog\.NET Tracer\win-x86\.\Datadog.Profiler.Native.dll
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] GetFunction: DllGetClassObject
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] GetFunction: DllCanUnloadNow
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] Setting environment variable: DD_INTERNAL_PROFILING_NATIVE_ENGINE_PATH=C:\Program Files\Datadog\.NET Tracer\win-x86\.\Datadog.Profiler.Native.dll
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] SetEnvironmentValue result: 1
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-x64;./Datadog.Profiler.Native.so
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-musl-x64;./Datadog.Profiler.Native.so
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-arm64;./Datadog.Profiler.Native.so
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};linux-musl-arm64;./Datadog.Profiler.Native.so
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] #Tracer
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};win-arm64;.\Datadog.Tracer.Native.dll
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};win-x64;.\Datadog.Tracer.Native.dll
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] TRACER;{50DA5EED-F1ED-B00B-1055-5AFE55A1ADE5};win-x86;.\Datadog.Tracer.Native.dll
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] DynamicDispatcherImpl::LoadConfiguration: [TRACER] Loading: .\Datadog.Tracer.Native.dll [AbsolutePath=C:\Program Files\Datadog\.NET Tracer\win-x86\.\Datadog.Tracer.Native.dll] (win-x86)
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] [TRACER] Creating a new DynamicInstance object
[2025-05-22 14:35:52.363 | debug | PId: 49532 | TId: 20944] Load: C:\Program Files\Datadog\.NET Tracer\win-x86\.\Datadog.Tracer.Native.dll
[2025-05-22 14:35:52.366 | debug | PId: 49532 | TId: 20944] GetFunction: DllGetClassObject
[2025-05-22 14:35:52.366 | debug | PId: 49532 | TId: 20944] GetFunction: DllCanUnloadNow
