[2025-05-22 14:31:15.200 | info | PId: 31384 | TId: 6184] Enable debug log = 1 from (DD_TRACE_DEBUG environment variable)
[2025-05-22 14:31:15.201 | debug | PId: 31384 | TId: 6184] DynamicDispatcherImpl::LoadConfiguration:  Setting environment variable: DD_INTERNAL_NATIVE_LOADER_PATH=C:\Program Files\Datadog\.NET Tracer\win-x86\Datadog.Trace.ClrProfiler.Native.dll
[2025-05-22 14:31:15.201 | debug | PId: 31384 | TId: 6184] DynamicDispatcherImpl::LoadConfiguration: SetEnvironmentValue result: 1
[2025-05-22 14:31:15.201 | info | PId: 31384 | TId: 6184] DynamicDispatcherImpl::LoadConfiguration: Reading configuration file from: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x86\\loader.conf"
[2025-05-22 14:31:15.202 | debug | PId: 31384 | TId: 6184] DynamicDispatcherImpl::LoadConfiguration: Config Folder: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x86\\"
[2025-05-22 14:31:15.202 | debug | PId: 31384 | TId: 6184] #Profiler
[2025-05-22 14:31:15.202 | debug | PId: 31384 | TId: 6184] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x64;.\Datadog.Profiler.Native.dll
[2025-05-22 14:31:15.202 | debug | PId: 31384 | TId: 6184] PROFILER;{BD1A650D-AC5D-4896-B64F-D6FA25D6B26A};win-x86;.\Datadog.Profiler.Native.dll
[2025-05-22 14:31:15.202 | debug | PId: 31384 | TId: 6184] DynamicDispatcherImpl::LoadConfiguration: [PROFILER] Loading: .\Datadog.Profiler.Native.dll [AbsolutePath=C:\Program Files\Datadog\.NET Tracer\win-x86\.\Datadog.Profiler.Native.dll] (win-x86)
[2025-05-22 14:31:15.203 | debug | PId: 31384 | TId: 6184] [PROFILER] Creating a new DynamicInstance object
[2025-05-22 14:31:15.203 | debug | PId: 31384 | TId: 6184] Load: C:\Program Files\Datadog\.NET Tracer\win-x86\.\Datadog.Profiler.Native.dll
[2025-05-22 14:31:15.211 | debug | PId: 31384 | TId: 6184] GetFunction: DllGetClassObject
[2025-05-22 14:31:15.211 | debug | PId: 31384 | TId: 6184] GetFunction: DllCanUnloadNow
