[2025-05-22 08:32:42.357 | info | PId: 56412 | TId: 23536] Profiler DLL loaded.
[2025-05-22 08:32:42.357 | info | PId: 56412 | TId: 23536] Profiler version = 3.16.0
[2025-05-22 08:32:42.357 | info | PId: 56412 | TId: 23536] Pointer size: 32 bits.
[2025-05-22 08:32:42.362 | info | PId: 56412 | TId: 23536] Configuration: DD_PROFILING_CPU_ENABLED env var is not set - '1' is used as default value
[2025-05-22 08:32:42.362 | info | PId: 56412 | TId: 23536] Configuration: DD_PROFILING_WALLTIME_ENABLED env var is not set - '1' is used as default value
[2025-05-22 08:32:42.362 | info | PId: 56412 | TId: 23536] Configuration: DD_PROFILING_EXCEPTION_ENABLED env var is not set - '1' is used as default value
[2025-05-22 08:32:42.362 | info | PId: 56412 | TId: 23536] Configuration: DD_PROFILING_ALLOCATION_ENABLED env var is not set - '0' is used as default value
[2025-05-22 08:32:42.362 | info | PId: 56412 | TId: 23536] Configuration: DD_PROFILING_CONTENTION_ENABLED env var is not set - '1' is used as default value
[2025-05-22 08:32:42.362 | info | PId: 56412 | TId: 23536] Configuration: DD_PROFILING_GC_ENABLED env var is not set - '1' is used as default value
[2025-05-22 08:32:42.362 | info | PId: 56412 | TId: 23536] Configuration: DD_PROFILING_HEAP_ENABLED env var is not set - '0' is used as default value
[2025-05-22 08:32:42.363 | info | PId: 56412 | TId: 23536] Configuration: DD_SERVICE env var is not set - 'git-credential-manager.exe' is used as default value
[2025-05-22 08:32:42.363 | info | PId: 56412 | TId: 23536] Configuration: DD_INTERNAL_PROFILING_ETW_ENABLED env var is not set - '1' is used as default value
[2025-05-22 08:32:42.363 | info | PId: 56412 | TId: 23536] .NET Profiler deployment mode: Manual
[2025-05-22 08:32:42.363 | info | PId: 56412 | TId: 23536] .NET Profiler environment variable 'DD_PROFILING_ENABLED' was not set. The .NET profiler will be disabled.
[2025-05-22 08:32:42.363 | info | PId: 56412 | TId: 23536] DllGetClassObject(): Profiling is not enabled.
[2025-05-22 08:32:43.554 | info | PId: 56412 | TId: 23536] Profiler DLL unloaded.
