[2025-05-15 11:49:08.015 | info | PId: 42252 | TId: 14372] No "DD_TRACE_DEBUG" environment variable has been found. Enable debug log = 0 (default).
[2025-05-15 11:49:08.015 | info | PId: 42252 | TId: 14372] Crashtracking - Registering unhandled exception filter.
[2025-05-15 11:49:08.015 | info | PId: 42252 | TId: 14372] DynamicDispatcherImpl::LoadConfiguration: Reading configuration file from: "C:\\Program Files\\Datadog\\.NET Tracer\\win-x64\\loader.conf"
[2025-05-15 11:49:08.052 | info | PId: 42252 | TId: 14372] DynamicInstanceImpl::LoadClassFactory: The IClassFactory from C:\Program Files\Datadog\.NET Tracer\win-x64\.\Datadog.Profiler.Native.dll is disabled
[2025-05-15 11:49:08.052 | info | PId: 42252 | TId: 14372] The continuous profiler is disabled
[2025-05-15 11:49:08.053 | info | PId: 42252 | TId: 14372] ICorProfilerInfo8 available. Profiling API compatibility: .NET Fx 4.7.2 or later.
[2025-05-15 11:49:08.054 | info | PId: 42252 | TId: 14372] Process CommandLine: "C:\Users\rroehl\AppData\Local\Fcm.Apps.DealInsight\Production\Bin\Fcm.Apps.DealInsight.exe" 
[2025-05-15 11:49:08.055 | info | PId: 42252 | TId: 14372] Initializing the Profiler: Reported runtime version : { clrInstanceId: 10, runtimeType:DESKTOP_CLR, majorVersion: 4, minorVersion: 0, buildNumber: 30319, qfeVersion: 0 }.
[2025-05-15 11:49:08.055 | info | PId: 42252 | TId: 14372] Instrumentation Verification log is disabled.
[2025-05-15 11:49:08.058 | info | PId: 42252 | TId: 14372] CorProfiler::Initialize: Tracer Profiler initialized successfully.
